"period [h]","CV[p2p]"
7,0.15000000000000002
8,0.05
8,0.1
8,0.15000000000000002
8,0.2
8,0.25
8,0.30000000000000004
9,0.05
9,0.1
9,0.15000000000000002
9,0.2
9,0.25
9,0.30000000000000004
10,0.05
10,0.1
10,0.15000000000000002
10,0.2
10,0.25
10,0.30000000000000004
11,0.05
11,0.1
11,0.15000000000000002
11,0.2
11,0.25
11,0.30000000000000004
12,0.05
12,0.1
12,0.15000000000000002
12,0.2
12,0.25
13,0.05
13,0.1
13,0.15000000000000002
13,0.2
13,0.25
13,0.4
14,0.
14,0.05
14,0.1
14,0.15000000000000002
14,0.2
14,0.4
14,0.45
15,0.
15,0.05
15,0.1
15,0.15000000000000002
15,0.2
15,0.45
15,0.5
16,0.
16,0.05
16,0.1
16,0.15000000000000002
16,0.45
16,0.5
17,0.
17,0.05
17,0.1
17,0.15000000000000002
17,0.45
17,0.5
17,0.55
18,0.
18,0.05
18,0.1
18,0.45
18,0.5
18,0.55
19,0.
19,0.05
19,0.1
19,0.45
19,0.5
19,0.55
20,0.
20,0.05
20,0.1
20,0.5
20,0.55
21,0.05
21,0.5
21,0.55
21,0.6000000000000001
22,0.
22,0.05
22,0.5
22,0.55
22,0.6000000000000001
23,0.45
23,0.5
23,0.55
23,0.6000000000000001
24,0.
24,0.05
24,0.5
24,0.55
24,0.6000000000000001
25,0.05
25,0.45
25,0.55
25,0.6000000000000001
26,0.
26,0.05
26,0.4
26,0.45
26,0.5
26,0.55
26,0.6000000000000001
27,0.05
27,0.1
27,0.5
27,0.55
27,0.6000000000000001
28,0.
28,0.05
28,0.5
28,0.55
29,0.
29,0.05
29,0.1
29,0.15000000000000002
29,0.5
29,0.55
29,0.6000000000000001
30,0.05
30,0.1
30,0.30000000000000004
30,0.35000000000000003
30,0.4
30,0.45
30,0.5
30,0.55
30,0.6000000000000001
31,0.
31,0.1
31,0.15000000000000002
31,0.30000000000000004
31,0.35000000000000003
31,0.5
31,0.55
32,0.
32,0.05
32,0.1
32,0.35000000000000003
32,0.4
32,0.45
32,0.5
32,0.55
32,0.6000000000000001
33,0.05
33,0.15000000000000002
33,0.30000000000000004
33,0.4
33,0.45
33,0.5
34,0.
34,0.05
34,0.15000000000000002
34,0.4
34,0.45
34,0.5
34,0.55
35,0.05
35,0.1
35,0.15000000000000002
35,0.2
35,0.5
35,0.55
36,0.05
36,0.1
36,0.4
37,0.
37,0.05
37,0.1
37,0.15000000000000002
37,0.2
37,0.35000000000000003
37,0.55
38,0.05
38,0.1
38,0.2
38,0.5
39,0.05
39,0.1
39,0.15000000000000002
39,0.30000000000000004
40,0.
40,0.05
40,0.1
40,0.2
41,0.05
41,0.1
41,0.2
41,0.55
42,0.05
42,0.15000000000000002
42,0.2
42,0.4
42,0.5
43,0.
43,0.05
43,0.2
44,0.05
44,0.1
44,0.15000000000000002
44,0.30000000000000004
44,0.55
45,0.05
45,0.4
46,0.05
46,0.15000000000000002
46,0.2
47,0.05
47,0.1
48,0.05
49,0.05
49,0.1
50,0.05
51,0.05
52,0.1
52,0.25
52,0.30000000000000004
54,0.05
54,0.15000000000000002
55,0.05
56,0.1
58,0.05
59,0.05
62,0.2
64,0.05
69,0.05
73,0.05
