"period [h]","CV[p2p]"
9,0.2
9,0.25
10,0.2
10,0.25
10,0.30000000000000004
11,0.25
11,0.30000000000000004
12,0.25
12,0.30000000000000004
12,0.35000000000000003
13,0.2
13,0.25
13,0.30000000000000004
13,0.35000000000000003
14,0.2
14,0.25
14,0.30000000000000004
14,0.35000000000000003
15,0.1
15,0.15000000000000002
15,0.2
15,0.25
15,0.30000000000000004
15,0.35000000000000003
16,0.05
16,0.1
16,0.15000000000000002
16,0.2
16,0.25
16,0.30000000000000004
17,0.05
17,0.1
17,0.15000000000000002
17,0.2
17,0.25
17,0.30000000000000004
18,0.05
18,0.1
18,0.15000000000000002
18,0.2
18,0.25
19,0.05
19,0.1
19,0.15000000000000002
19,0.2
20,0.
20,0.05
20,0.1
20,0.15000000000000002
20,0.2
21,0.
21,0.05
21,0.1
22,0.
22,0.05
22,0.1
23,0.
23,0.05
23,0.1
24,0.
24,0.05
24,0.1
24,0.15000000000000002
24,0.2
25,0.
25,0.05
25,0.1
25,0.15000000000000002
25,0.2
25,0.25
26,0.
26,0.05
26,0.1
26,0.15000000000000002
26,0.2
26,0.25
27,0.
27,0.05
27,0.1
27,0.15000000000000002
27,0.2
27,0.25
27,0.30000000000000004
28,0.
28,0.05
28,0.1
28,0.15000000000000002
28,0.2
28,0.25
28,0.30000000000000004
28,0.55
29,0.
29,0.05
29,0.1
29,0.15000000000000002
29,0.2
29,0.25
29,0.30000000000000004
30,0.
30,0.05
30,0.1
30,0.15000000000000002
30,0.2
30,0.25
30,0.30000000000000004
31,0.05
31,0.1
31,0.15000000000000002
31,0.2
31,0.25
31,0.30000000000000004
31,0.55
32,0.05
32,0.1
32,0.15000000000000002
32,0.2
32,0.25
32,0.30000000000000004
32,0.35000000000000003
32,0.6000000000000001
33,0.05
33,0.1
33,0.15000000000000002
33,0.2
33,0.25
33,0.30000000000000004
33,0.35000000000000003
33,0.5
33,0.55
34,0.05
34,0.1
34,0.15000000000000002
34,0.2
34,0.25
34,0.30000000000000004
34,0.35000000000000003
34,0.4
34,0.5
35,0.05
35,0.1
35,0.15000000000000002
35,0.2
35,0.25
35,0.30000000000000004
35,0.35000000000000003
35,0.4
35,0.45
35,0.5
35,0.55
36,0.15000000000000002
36,0.2
36,0.25
36,0.30000000000000004
36,0.35000000000000003
36,0.4
36,0.5
36,0.55
37,0.1
37,0.15000000000000002
37,0.2
37,0.25
37,0.30000000000000004
37,0.35000000000000003
37,0.4
37,0.55
38,0.15000000000000002
38,0.2
38,0.25
38,0.30000000000000004
38,0.35000000000000003
38,0.4
38,0.45
38,0.5
38,0.55
39,0.15000000000000002
39,0.2
39,0.25
39,0.30000000000000004
39,0.35000000000000003
39,0.4
39,0.45
39,0.5
39,0.55
40,0.2
40,0.25
40,0.30000000000000004
40,0.35000000000000003
40,0.4
40,0.45
40,0.5
40,0.55
41,0.2
41,0.25
41,0.30000000000000004
41,0.35000000000000003
41,0.4
41,0.45
41,0.55
42,0.2
42,0.25
42,0.30000000000000004
42,0.35000000000000003
42,0.4
42,0.45
42,0.5
42,0.55
43,0.2
43,0.25
43,0.30000000000000004
43,0.35000000000000003
43,0.4
43,0.45
43,0.5
43,0.55
43,0.6000000000000001
44,0.25
44,0.30000000000000004
44,0.35000000000000003
44,0.4
44,0.45
44,0.5
44,0.55
45,0.25
45,0.30000000000000004
45,0.35000000000000003
45,0.4
45,0.45
45,0.5
45,0.6000000000000001
46,0.30000000000000004
46,0.4
46,0.45
46,0.5
46,0.55
47,0.25
47,0.30000000000000004
47,0.35000000000000003
47,0.4
47,0.45
47,0.5
48,0.30000000000000004
48,0.35000000000000003
48,0.4
48,0.45
48,0.5
48,0.6000000000000001
49,0.35000000000000003
49,0.4
49,0.45
49,0.55
50,0.35000000000000003
50,0.55
51,0.35000000000000003
51,0.4
51,0.45
52,0.30000000000000004
52,0.45
52,0.5
52,0.55
53,0.4
53,0.45
53,0.55
54,0.55
55,0.4
57,0.4
57,0.45
58,0.4
58,0.55
60,0.45
60,0.5
61,0.4
61,0.55
62,0.45
62,0.55
65,0.5
65,0.55
66,0.5
69,0.45
69,0.5
70,0.45
70,0.5
70,0.55
72,0.4
72,0.45
76,0.45
78,0.55
80,0.5
82,0.5
88,0.55
91,0.5
94,0.5
104,0.5
105,0.55
127,0.5
128,0.55
153,0.55
183,0.5
184,0.5
